username, created_at, lng, lat, text
RodH75727469, Fri Apr 24 03:04:30 +0000 2020, -86.680738, 32.576227, 2020 NFL Draft Kenneth Murray to the Los Angeles Chargers https://t.co/xiAIqnwO3F 
BnBStyle, Fri Apr 24 03:04:30 +0000 2020, -118.318900, 34.120800, Sheltering-in-place 🌴🌴@louisvuitton #louisvuitton 🌴🌴 @ Hollywood Hills https://t.co/PEtYND8krb 
lilianarsr, Fri Apr 24 03:04:30 +0000 2020, -100.293591, 25.641718, @Rayados Campeón 
VitaeVino, Fri Apr 24 03:04:31 +0000 2020, -122.459173, 38.292170, Do as Blue Dog does. Stay the course. @ SIGH. https://t.co/KR9Z96RZVM 
sustopramen_, Fri Apr 24 03:04:31 +0000 2020, -73.948775, 40.655138, @chefBoyarSYD @FeelGREGarious Did you put the spinach in the ground turkey? 
gohead287, Fri Apr 24 03:04:31 +0000 2020, -117.104989, 32.810012, This pick reminds me of the Denzel Perryman pick... 
rsalt159, Fri Apr 24 03:04:31 +0000 2020, -73.409825, 40.881761, @BobbiResists @vegix @TwitterSupport Yep 
iheartasu, Fri Apr 24 03:04:31 +0000 2020, -111.738566, 33.295215, Help Team Family raise funds for Valleywise. Learn more: https://t.co/PrC0p91EEX 
Fitps1, Fri Apr 24 03:04:31 +0000 2020, -83.173867, 32.678207, https://t.co/yaMwFYesCw 
KoGlo, Fri Apr 24 03:04:31 +0000 2020, -94.138883, 36.264787, @GaitherMoore I’m laughing and feeling sad for u at the same time. GAITHER R U OKAY 
greg_doucette, Fri Apr 24 03:04:31 +0000 2020, -79.861034, 35.170499, (30 seconds later-ish)👴🏼: ::sniffle::👩🏻: "Are you gonna make it?"👴🏼 (now 🥵): "Yeah I'm good ::sniffle::" 
GaryEllerson, Fri Apr 24 03:04:31 +0000 2020, -88.128181, 42.970186, He gone! Kenneth Murray! 🤷🏽‍♂️ 
travismarshalll, Fri Apr 24 03:04:31 +0000 2020, -76.620482, 39.284713, @Joshua_Fannin Wear em around the house fuck it 
KBray63, Fri Apr 24 03:04:31 +0000 2020, -71.150011, 42.454703, Kenneth Murray being available at 23, the Pats trading the pick, and then Murray going at 23 is the most fitting wa… https://t.co/ye0kmQTv64 
LeviPeckenpaugh, Fri Apr 24 03:04:31 +0000 2020, -97.080205, 36.129689, Kenneth Murray is another great piece for a stacked Chargers team. Worth the trade up. 
andreasalazarg_, Fri Apr 24 03:04:31 +0000 2020, -98.716992, 35.309047, 40......sugar donde estasss😭😂 
theprincedylan, Fri Apr 24 03:04:31 +0000 2020, -118.411907, 34.020789, @adamilenich @carsoneisenhart Choke you energy 
_quickk6, Fri Apr 24 03:04:31 +0000 2020, -97.754724, 30.323346, Love that Kenneth Murray pick for the Chargers .✅ 
cassmcgowan, Fri Apr 24 03:04:31 +0000 2020, -89.569491, 44.900818, Who @ochocinco 
cocaina__k, Fri Apr 24 03:04:31 +0000 2020, -75.117998, 40.004866, !!! 
LaSenoritaLaura, Fri Apr 24 03:04:31 +0000 2020, -96.347781, 30.665858, guys who wear gold jewelry like this&gt;&gt;&gt;&gt; 
newsmanjerod, Fri Apr 24 03:04:31 +0000 2020, -77.349057, 38.955801, @pimathman @rorotheatre @Eagles He looks quick and speedy like DeSean Jackson 
DanEyellNicole, Fri Apr 24 03:04:31 +0000 2020, -97.621869, 32.920901, I didn’t know @laynev17 was that short.... and my boii @cheatham_cody knows what’s up double fisting 
VivaLaAla, Fri Apr 24 03:04:31 +0000 2020, -84.153529, 39.695477, @POS1V1BES I’m so glad you’re okay and am heartbroken that you had to go through that today 💓 
mkerob, Fri Apr 24 03:04:31 +0000 2020, -112.543989, 33.435620, Belichick playing chess while the others are playing...well, they're playing chess too, besides the Raiders. #NFLDraft 
gjferrari_, Fri Apr 24 03:04:31 +0000 2020, -104.922093, 39.713563, Estoy si todo el día https://t.co/Urg8qDfg75 
Robinbr31091711, Fri Apr 24 03:04:32 +0000 2020, -97.463645, 35.327468, @marthamaccallum Because gov coumo did a DNR on anyone 
alexmhogan, Fri Apr 24 03:04:32 +0000 2020, -77.014398, 38.898603, @JasonSCampbell Trump is a whiny complainer who dumps his problems on everyone else. And he’s got a fake tan. Not e… https://t.co/M7H1BFnPrE 
fbglola, Fri Apr 24 03:04:32 +0000 2020, -110.915573, 32.189391, https://t.co/uzLr40nkDX 
maxc710, Fri Apr 24 03:04:32 +0000 2020, -108.562922, 45.797446, update: acquired 
curtab7, Fri Apr 24 03:04:32 +0000 2020, -117.022695, 38.502147, @BrookiieCookie9 @MySportsUpdate @SA247LLC @TJBdeals I think the Vikings do need one. Just thinking Love is going t… https://t.co/arMwyHmJ5H 
syd_naynay, Fri Apr 24 03:04:32 +0000 2020, -121.979527, 37.523645, This man is a joke 
savannahlewis09, Fri Apr 24 03:04:32 +0000 2020, -90.454076, 38.715947, #nameitkevin 
Heyyouknowjason, Fri Apr 24 03:04:32 +0000 2020, -119.763903, 36.298599, @_handsmedevil Okay I need to scan your app plz🌚😂 
GrooovyB, Fri Apr 24 03:04:32 +0000 2020, -117.421380, 34.548619, I never thought I’d see the day 😔 
ShanterianC, Fri Apr 24 03:04:32 +0000 2020, -84.433106, 33.767195, @shanndadoll Righttttt 
billsmiles, Fri Apr 24 03:04:32 +0000 2020, -82.740246, 35.672958, I’m shipping this week’s orders at the end of my day this Friday and every Friday. If you don’t give a shit about h… https://t.co/uydrGVtnIr 
heffmd, Fri Apr 24 03:04:32 +0000 2020, -80.883981, 35.410351, Sure,  let’s inject light and disinfectant intravenously.  Bigley. China loves it, I do it better, let’s see, they… https://t.co/QHHbq2YreT 
MonmouthNJ53, Fri Apr 24 03:04:32 +0000 2020, -74.188544, 40.302198, @morningmika What’s grotesque is breaking up a man’s family, home wrecker. 
KathyChisam, Fri Apr 24 03:04:32 +0000 2020, -94.559281, 39.100048, @davidmweissman Glad you are smarter now 
Lils3xiish0rtii, Fri Apr 24 03:04:32 +0000 2020, -96.291649, 30.585471, @P1RU Wow wtf.. 
JonathanChen194, Fri Apr 24 03:04:32 +0000 2020, -122.023841, 37.378397, 顯然美軍出動這二十一世紀最新的濱海主力艦可以有二十+ F-35 B 可以獨立作戰也可以聯合作戰！中共的海軍要動手是自找海葬！ 
DArm91, Fri Apr 24 03:04:32 +0000 2020, -81.077407, 46.584181, @KateeForbis Ill just say i look similar pretty much and just go with that really lol 
dose17, Fri Apr 24 03:04:32 +0000 2020, -93.262046, 44.970610, So Lincoln Riley just has Jordan boxes on the floor of his living room? 
nellyisabel, Fri Apr 24 03:04:32 +0000 2020, -122.330602, 47.614817, Sooner magic! ⭕️🙌🏼 @OU_Football #NFLDraft 
fakestginger, Fri Apr 24 03:04:32 +0000 2020, -122.658100, 47.808741, I want this to be my every day fit and I’m SORRY about that 
ZeeToThe, Fri Apr 24 03:04:32 +0000 2020, -80.846785, 35.209059, Either ‘Forces’ or ‘Ones’ 
diglettsdaddy, Fri Apr 24 03:04:32 +0000 2020, -117.086778, 32.669810, Nahhhhhhhhhhhhhhh 
_catdha, Fri Apr 24 03:04:32 +0000 2020, -95.446486, 29.838495, need another night like this https://t.co/D62hCE67cg 
JeseyH, Fri Apr 24 03:04:33 +0000 2020, -96.891739, 33.079014, @mccollomjack Hit them books then 
aahndyy, Fri Apr 24 03:04:33 +0000 2020, -123.029015, 44.935084, @devilsrascal @Belifull when ? 
FirstName_Ant, Fri Apr 24 03:04:33 +0000 2020, -77.014398, 38.898603, Prayers and love to the Prescott family. 🕊 
Agriking, Fri Apr 24 03:04:33 +0000 2020, -82.669467, 40.365160, @AvgNickk I don’t see a problem. 
emdiane87, Fri Apr 24 03:04:33 +0000 2020, -79.272570, 43.629311, @LizeTheBeezNeez Lool 
Terrence_CFP, Fri Apr 24 03:04:33 +0000 2020, -118.411907, 34.020789, @shazam_ank It's rare I actually watch since I'm not up on college football at all. 
friendoftoads, Fri Apr 24 03:04:33 +0000 2020, -72.451172, 43.871757, @AlwaysAButt Hilary don't read thisNate hiii 
BloodworksNW, Fri Apr 24 03:04:33 +0000 2020, -122.330602, 47.614817, @SoundersFC @MLS He is a Seattle treasure. 🙌🏼 
DaveBakeMMA, Fri Apr 24 03:04:33 +0000 2020, -97.742292, 35.500630, @Fight_Expert He didn’t make the cut on my final mock but I wouldn’t be surprised at all if Kansas City takes him a… https://t.co/36PnYiRJ1l 
negrilscott2003, Fri Apr 24 03:04:33 +0000 2020, -83.804475, 27.698682, Congrats! 
